Security,Type,InputType,Input,Source
TAIWAN,FUTURE,Return Period,252,BBG
TAIWAN,FUTURE,RISK_TICKER,TWT1 A:00_0_R? INDEX,BBG
TAIWAN,FUTURE,RISK_TICKER2,TWT1 A:00_0_R? INDEX,BBG
TAIWAN,FUTURE,Spot,TWT1 A:00_0_R? INDEX,BBG
TAIWAN,FUTURE,TREND_PRICE,TWT1 A:00_0_D? INDEX,BBG
TAIWAN OLD,FUTURE,ACTIVE_TICKER,TWA INDEX,BBG
TAIWAN OLD,FUTURE,Carry,TW1 A:00_0_N? INDEX,BBG
TAIWAN OLD,FUTURE,Carry2,TW2 A:00_0_N? INDEX,BBG
TAIWAN OLD,FUTURE,ClearMacro,Taiwan,CLEARMACRO
TAIWAN OLD,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
TAIWAN OLD,FUTURE,GENERIC_TICKER,TW1_INDEX,BBG
TAIWAN OLD,FUTURE,NO_ADJ,TW1 A:00_0_N? INDEX,BBG
TAIWAN OLD,FUTURE,Return Period,252,BBG
TAIWAN OLD,FUTURE,RISK_TICKER,TW1 A:00_0_R? INDEX,BBG
TAIWAN OLD,FUTURE,RISK_TICKER2,TW1 A:00_0_R? INDEX,BBG
TAIWAN OLD,FUTURE,TREND_PRICE,TW1 A:00_0_D? INDEX,BBG
THB,FORWARD,10YYields,GVTL10YR Index,BBG
THB,FORWARD,2M_FWD,THB2M CMPN Curncy,BBG
THB,FORWARD,2YYields,GVTL2YR Index,BBG
THB,FORWARD,3M_FWD,THB3M CMPN Curncy,BBG
THB,FORWARD,3MYields,BOFX3M Index,BBG
THB,FORWARD,ACTIVE_TICKER,USDTHBCR CURNCY,BBG
THB,FORWARD,Carry,THBI3M Curncy,BBG
THB,FORWARD,Carry2,US0003M Curncy,BBG
THB,FORWARD,Carry3,CEWSTHB Index,BBG
THB,FORWARD,ClearMacro,Thailand,CLEARMACRO
THB,FORWARD,CPI_YOY,THCPIYOY Index,BBG
THB,FORWARD,Current Account,EHCATH INDEX,BBG
THB,FORWARD,Economic Surprises,CESITHB Index,BBG
THB,FORWARD,Equity Performance,SET Index,BBG
THB,FORWARD,FX XXXGBP,THBGBP CURNCY,BBG
THB,FORWARD,GBP_Spot,GBPTHB Curncy,BBG
THB,FORWARD,GENERIC_TICKER,USDTHBCR_CURNCY,BBG
THB,FORWARD,IMPVOL,USDTHBV3M Curncy,BBG
THB,FORWARD,Inflation Surprises,CSIITHB Index,BBG
THB,FORWARD,NO_ADJ,USDTHB CURNCY,BBG
THB,FORWARD,PPP,IPPPTHA Index,BBG
THB,FORWARD,Return Period,22,BBG
THB,FORWARD,RISK_TICKER,USDTHB CURNCY,BBG
THB,FORWARD,RISK_TICKER2,THBUSD CURNCY,BBG
THB,FORWARD,Spot,USDTHB CURNCY,BBG
THB,FORWARD,TREND_PRICE,USDTHB CURNCY,BBG
THB,FORWARD,Unemployment Rate,EHUPTH Index,BBG
THB,FORWARD,USD_Spot,USDTHB Curncy,BBG
TIPS,INDEX,ClearMacro,US,CLEARMACRO
TIPS,INDEX,Equity Performance,SPX Index,BBG
TIPS,INDEX,FX XXXGBP,USDGBP CURNCY,BBG
TIPS,INDEX,Return Period,252,BBG
TIPS,INDEX,RISK_TICKER,LBUTTRUU INDEX,BBG
TIPS,INDEX,RISK_TICKER2,LBUTTRUU INDEX,BBG
TIPS,INDEX,Spot,LBUTTRUU INDEX,BBG
TIPS,INDEX,TREND_PRICE,LBUTTRUU INDEX,BBG
TRY,FORWARD,10YYields,GTRU10YR Index,BBG
TRY,FORWARD,2M_FWD,TRY2M CMPN Curncy,BBG
TRY,FORWARD,2YYields,GTRU2YR Index,BBG
TRY,FORWARD,3M_FWD,TRY3M CMPN Curncy,BBG
TRY,FORWARD,3MYields,TRLIB3M Index,BBG
TRY,FORWARD,ACTIVE_TICKER,USDTRYCR CURNCY,BBG
TRY,FORWARD,Carry,TRYI3M Curncy,BBG
TRY,FORWARD,Carry 12M,TYI12M CMPN Curncy,BBG
TRY,FORWARD,Carry2,US0003M Curncy,BBG
TRY,FORWARD,Carry2 12M,US0012M Curncy,BBG
TRY,FORWARD,Carry3,CEWSTRY Index,BBG
TRY,FORWARD,ClearMacro,Turkey,CLEARMACRO
TRY,FORWARD,CPI_YOY,TUCPIY Index,BBG
TRY,FORWARD,Current Account,EHCATR INDEX,BBG
TRY,FORWARD,Economic Surprises,CESITRY Index,BBG
TRY,FORWARD,Equity Performance,XU100 Index,BBG
TRY,FORWARD,FX XXXGBP,TRYGBP CURNCY,BBG
TRY,FORWARD,GBP_Spot,GBPTRY Curncy,BBG
TRY,FORWARD,GENERIC_TICKER,USDTRYCR_CURNCY,BBG
TRY,FORWARD,IMPVOL,USDTRYV3M Curncy,BBG
TRY,FORWARD,Inflation Surprises,CSIITRY Index,BBG
TRY,FORWARD,NO_ADJ,USDTRY CURNCY,BBG
TRY,FORWARD,OECD CLI,OETRKLAC Index,BBG
TRY,FORWARD,PPP,IPPPTUR Index,BBG
TRY,FORWARD,Return Period,22,BBG
TRY,FORWARD,RISK_TICKER,USDTRY CURNCY,BBG
TRY,FORWARD,RISK_TICKER2,TRYUSD CURNCY,BBG
TRY,FORWARD,Spot,USDTRY CURNCY,BBG
TRY,FORWARD,TREND_PRICE,USDTRY CURNCY,BBG
TRY,FORWARD,Unemployment Rate,EHUPTR Index,BBG
TRY,FORWARD,USD_Spot,USDTRY Curncy,BBG
TURKEY,FUTURE,ACTIVE_TICKER,A5A INDEX,BBG
TURKEY,FUTURE,ASR ERP,TKASERP,DATASTREAM
TURKEY,FUTURE,Carry,A51 A:00_0_N? INDEX,BBG
TURKEY,FUTURE,Carry2,A52 A:00_0_N? INDEX,BBG
TURKEY,FUTURE,ClearMacro,Turkey,CLEARMACRO
TURKEY,FUTURE,FX XXXGBP,TRYGBP CURNCY,BBG
TURKEY,FUTURE,FX XXXUSD,TRYUSD CURNCY,BBG
TURKEY,FUTURE,GENERIC_TICKER,A51_INDEX,BBG
TURKEY,FUTURE,MSCI Index,MXTR INDEX,BBG
TURKEY,FUTURE,NO_ADJ,A51 A:00_0_N? INDEX,BBG
TURKEY,FUTURE,Return Period,252,BBG
TURKEY,FUTURE,RISK_TICKER,A51 A:00_0_R? INDEX,BBG
TURKEY,FUTURE,RISK_TICKER2,A51 A:00_0_R? INDEX,BBG
TURKEY,FUTURE,Spot,A51 A:00_0_R? INDEX,BBG
TURKEY,FUTURE,TREND_PRICE,A51 A:00_0_D? INDEX,BBG
TWD,FORWARD,10YYields,GVTWTO10 Index,BBG
TWD,FORWARD,2M_FWD,NTN2M CMPN Curncy,BBG
TWD,FORWARD,2YYields,GVTWTO2 Index,BBG
TWD,FORWARD,3M_FWD,NTN3M CMPN Curncy,BBG
TWD,FORWARD,3MYields,TAIBOR3M Index,BBG
TWD,FORWARD,ACTIVE_TICKER,USDTWDCR CURNCY,BBG
TWD,FORWARD,Carry,TRNI3M Curncy,BBG
TWD,FORWARD,Carry2,US0003M Curncy,BBG
TWD,FORWARD,Carry3,CEWSTWD Index,BBG
TWD,FORWARD,ClearMacro,Taiwan,CLEARMACRO
TWD,FORWARD,CPI_YOY,TWCPIYOY Index,BBG
TWD,FORWARD,Current Account,EHCATW INDEX,BBG
TWD,FORWARD,Economic Surprises,CESITWD Index,BBG
TWD,FORWARD,Equity Performance,TWSE Index,BBG
TWD,FORWARD,FX XXXGBP,TWDGBP CURNCY,BBG
TWD,FORWARD,GBP_Spot,GBPTWD Curncy,BBG
TWD,FORWARD,GENERIC_TICKER,USDTWDCR_CURNCY,BBG
TWD,FORWARD,IMPVOL,USDTWDV3M Curncy,BBG
TWD,FORWARD,Inflation Surprises,CSIITWD Index,BBG
TWD,FORWARD,NO_ADJ,USDTWD CURNCY,BBG
TWD,FORWARD,PPP,IPPPTWN Index,BBG
TWD,FORWARD,Return Period,22,BBG
TWD,FORWARD,RISK_TICKER,USDTWD CURNCY,BBG
TWD,FORWARD,RISK_TICKER2,TWDUSD CURNCY,BBG
TWD,FORWARD,Spot,USDTWD CURNCY,BBG
TWD,FORWARD,TREND_PRICE,USDTWD CURNCY,BBG
TWD,FORWARD,Unemployment Rate,EHUPTW Index,BBG
TWD,FORWARD,USD_Spot,USDTWD Curncy,BBG
UK,FUTURE,ACTIVE_TICKER,Z A INDEX,BBG
UK,FUTURE,ASR ERP,UKASERP,DATASTREAM
UK,FUTURE,Carry,Z 1 A:00_0_N? INDEX,BBG
UK,FUTURE,Carry2,Z 2 A:00_0_N? INDEX,BBG
UK,FUTURE,ClearMacro,UK,CLEARMACRO
UK,FUTURE,CPI,UKCONPRCF,DATASTREAM
UK,FUTURE,FX XXXGBP,USD CURNCY,BBG
UK,FUTURE,FX XXXUSD,GBPUSD CURNCY,BBG
UK,FUTURE,GENERIC_TICKER,Z_1_INDEX,BBG
UK,FUTURE,MSCI Index,MXGB INDEX,BBG
UK,FUTURE,NO_ADJ,Z 1 A:00_0_N? INDEX,BBG
UK,FUTURE,Return Period,252,BBG
UK,FUTURE,RISK_TICKER,Z 1 A:00_0_R? INDEX,BBG
UK,FUTURE,RISK_TICKER2,Z 1 A:00_0_R? INDEX,BBG
UK,FUTURE,Spot,Z 1 A:00_0_R? INDEX,BBG
UK,FUTURE,Terms of Trade,UKCTRM..F,DATASTREAM
UK,FUTURE,TREND_PRICE,Z 1 A:00_0_D? INDEX,BBG
US 10YR,FUTURE,10YYields,I02510Y INDEX,BBG
US 10YR,FUTURE,2YYields,I02502Y INDEX,BBG
US 10YR,FUTURE,ACTIVE_TICKER,TYA COMDTY,BBG
US 10YR,FUTURE,Carry,I02503M INDEX,BBG
US 10YR,FUTURE,Carry2,I02509Y INDEX,BBG
US 10YR,FUTURE,Carry3,I02510Y INDEX,BBG
US 10YR,FUTURE,ClearMacro,US,CLEARMACRO
US 10YR,FUTURE,CPI,USI64...F,DATASTREAM
US 10YR,FUTURE,Equity Performance,SPX Index,BBG
US 10YR,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
US 10YR,FUTURE,GENERIC_TICKER,TY1_COMDTY,BBG
US 10YR,FUTURE,NO_ADJ,TY1 A:00_0_N? COMDTY,BBG
US 10YR,FUTURE,Return Period,252,BBG
US 10YR,FUTURE,RISK_TICKER,TY1 A:00_0_R? COMDTY,BBG
US 10YR,FUTURE,RISK_TICKER2,TY1 A:00_0_R? COMDTY,BBG
US 10YR,FUTURE,Spot,TY1 A:00_0_R? COMDTY,BBG
US 10YR,FUTURE,Terms of Trade,USTOTPRCF,DATASTREAM
US 10YR,FUTURE,TREND_PRICE,TY1 A:00_0_D? COMDTY,BBG
US 2YR,FUTURE,ACTIVE_TICKER,TUA COMDTY,BBG
US 2YR,FUTURE,Carry,I02503M INDEX,BBG
US 2YR,FUTURE,Carry2,I02509Y INDEX,BBG
US 2YR,FUTURE,Carry3,I02510Y INDEX,BBG
US 2YR,FUTURE,ClearMacro,US,CLEARMACRO
US 2YR,FUTURE,CPI,USI64...F,DATASTREAM
US 2YR,FUTURE,Equity Performance,SPX Index,BBG
US 2YR,FUTURE,GENERIC_TICKER,TU1_COMDTY,BBG
US 2YR,FUTURE,NO_ADJ,TU1 A:00_0_N? COMDTY,BBG
US 2YR,FUTURE,Return Period,252,BBG
US 2YR,FUTURE,RISK_TICKER,TU1 A:00_0_R? COMDTY,BBG
US 2YR,FUTURE,RISK_TICKER2,TU1 A:00_0_R? COMDTY,BBG
US 2YR,FUTURE,Spot,TU1 A:00_0_R? COMDTY,BBG
US 2YR,FUTURE,Terms of Trade,USTOTPRCF,DATASTREAM
US 2YR,FUTURE,TREND_PRICE,TU1 A:00_0_D? COMDTY,BBG
US 5YR,FUTURE,ACTIVE_TICKER,FVA COMDTY,BBG
US 5YR,FUTURE,Carry,I02503M INDEX,BBG
US 5YR,FUTURE,Carry2,I02509Y INDEX,BBG
US 5YR,FUTURE,Carry3,I02510Y INDEX,BBG
US 5YR,FUTURE,ClearMacro,US,CLEARMACRO
US 5YR,FUTURE,CPI,USI64...F,DATASTREAM
US 5YR,FUTURE,Equity Performance,SPX Index,BBG
US 5YR,FUTURE,GENERIC_TICKER,FV1_COMDTY,BBG
US 5YR,FUTURE,NO_ADJ,FV1 A:00_0_N? COMDTY,BBG
US 5YR,FUTURE,Return Period,252,BBG
US 5YR,FUTURE,RISK_TICKER,FV1 A:00_0_R? COMDTY,BBG
US 5YR,FUTURE,RISK_TICKER2,FV1 A:00_0_R? COMDTY,BBG
US 5YR,FUTURE,Spot,FV1 A:00_0_R? COMDTY,BBG
US 5YR,FUTURE,Terms of Trade,USTOTPRCF,DATASTREAM
US 5YR,FUTURE,TREND_PRICE,FV1 A:00_0_D? COMDTY,BBG
US LONG,FUTURE,ACTIVE_TICKER,USA COMDTY,BBG
US LONG,FUTURE,Carry,I02503M INDEX,BBG
US LONG,FUTURE,Carry2,I02509Y INDEX,BBG
US LONG,FUTURE,Carry3,I02510Y INDEX,BBG
US LONG,FUTURE,ClearMacro,US,CLEARMACRO
US LONG,FUTURE,CPI,USI64...F,DATASTREAM
US LONG,FUTURE,Equity Performance,SPX Index,BBG
US LONG,FUTURE,GENERIC_TICKER,US1_COMDTY,BBG
US LONG,FUTURE,NO_ADJ,US1 A:00_0_N? COMDTY,BBG
US LONG,FUTURE,Return Period,252,BBG
US LONG,FUTURE,RISK_TICKER,US1 A:00_0_R? COMDTY,BBG
US LONG,FUTURE,RISK_TICKER2,US1 A:00_0_R? COMDTY,BBG
US LONG,FUTURE,Spot,US1 A:00_0_R? COMDTY,BBG
US LONG,FUTURE,Terms of Trade,USTOTPRCF,DATASTREAM
US LONG,FUTURE,TREND_PRICE,US1 A:00_0_D? COMDTY,BBG
US ULTRA,FUTURE,ACTIVE_TICKER,WNA COMDTY,BBG
US ULTRA,FUTURE,Carry,I02503M INDEX,BBG
US ULTRA,FUTURE,Carry2,I02509Y INDEX,BBG
US ULTRA,FUTURE,Carry3,I02510Y INDEX,BBG
US ULTRA,FUTURE,ClearMacro,US,CLEARMACRO
US ULTRA,FUTURE,Equity Performance,SPX Index,BBG
US ULTRA,FUTURE,GENERIC_TICKER,WN1_COMDTY,BBG
US ULTRA,FUTURE,NO_ADJ,WN1 A:00_0_N? COMDTY,BBG
US ULTRA,FUTURE,Return Period,252,BBG
US ULTRA,FUTURE,RISK_TICKER,WN1 A:00_0_R? COMDTY,BBG
US ULTRA,FUTURE,RISK_TICKER2,WN1 A:00_0_R? COMDTY,BBG
US ULTRA,FUTURE,Spot,WN1 A:00_0_R? COMDTY,BBG
US ULTRA,FUTURE,TREND_PRICE,WN1 A:00_0_D? COMDTY,BBG
USA,FUTURE,ACTIVE_TICKER,ESA INDEX,BBG
USA,FUTURE,ASR ERP,USASERP,DATASTREAM
USA,FUTURE,Carry,ES1 A:00_0_N? INDEX,BBG
USA,FUTURE,Carry2,ES2 A:00_0_N? INDEX,BBG
USA,FUTURE,ClearMacro,US,CLEARMACRO
USA,FUTURE,CPI,USI64...F,DATASTREAM
USA,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
USA,FUTURE,FX XXXUSD,USD CURNCY,BBG
USA,FUTURE,GENERIC_TICKER,ES1_INDEX,BBG
USA,FUTURE,MSCI Index,MXUS INDEX,BBG
USA,FUTURE,NO_ADJ,ES1 A:00_0_N? INDEX,BBG
USA,FUTURE,Return Period,252,BBG
USA,FUTURE,RISK_TICKER,ES1 A:00_0_R? INDEX,BBG
USA,FUTURE,RISK_TICKER2,ES1 A:00_0_R? INDEX,BBG
USA,FUTURE,Spot,ES1 A:00_0_R? INDEX,BBG
USA,FUTURE,Terms of Trade,USTOTPRCF,DATASTREAM
USA,FUTURE,TREND_PRICE,ES1 A:00_0_D? INDEX,BBG
USD,FORWARD,10YYields,GT10 Govt,BBG
USD,FORWARD,2YYields,GT02 Govt,BBG
USD,FORWARD,3MYields,USBMMY3M Index,BBG
USD,FORWARD,Balance of Payments,G10:N111BBPG,HAVER
USD,FORWARD,Carry,US0003M Index,BBG
USD,FORWARD,Carry2,US0003M Index,BBG
USD,FORWARD,ClearMacro,US,CLEARMACRO
USD,FORWARD,ClearMacro V3,USA,CLEARMACRO
USD,FORWARD,CPI,USI64...F,DATASTREAM
USD,FORWARD,CPI_YOY,CPI YOY Index,BBG
USD,FORWARD,Current Account,EHCAUS INDEX,BBG
USD,FORWARD,Economic Surprises,CESIUSD Index,BBG
USD,FORWARD,Equity Performance,SPX Index,BBG
USD,FORWARD,Inflation Surprises,CSIIUSD Index,BBG
USD,FORWARD,Long term rate,USGBOND.,DATASTREAM
USD,FORWARD,OECD CLI,OEUSKLAC Index,BBG
USD,FORWARD,PPP,IPPPUSA Index,BBG
USD,FORWARD,Return Period,66,BBG
USD,FORWARD,RISK_TICKER,DXY Index,BBG
USD,FORWARD,RISK_TICKER2,DXY Index,BBG
USD,FORWARD,Short term rate,USINTER3,DATASTREAM
USD,FORWARD,Spot,USD Curncy,BBG
USD,FORWARD,Terms of Trade,USTOTPRCF,DATASTREAM
USD,FORWARD,Unemployment Rate,USURTOT Index,BBG
VIX,FUTURE,ACTIVE_TICKER,UXA INDEX,BBG
VIX,FUTURE,Carry,UX1 A:00_0_N? INDEX,BBG
VIX,FUTURE,Carry2,UX2 A:00_0_N? INDEX,BBG
VIX,FUTURE,ClearMacro,Volatility,CLEARMACRO
VIX,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
VIX,FUTURE,GENERIC_TICKER,UX1_INDEX,BBG
VIX,FUTURE,NO_ADJ,UX1 A:00_0_N? INDEX,BBG
VIX,FUTURE,Return Period,22,BBG
VIX,FUTURE,RISK_TICKER,UX1 A:00_0_R? INDEX,BBG
VIX,FUTURE,RISK_TICKER2,UX1 A:00_0_R? INDEX,BBG
VIX,FUTURE,Spot,UX1 A:00_0_R? INDEX,BBG
VIX,FUTURE,TREND_PRICE,UX1 A:00_0_D? INDEX,BBG
WHEAT,FUTURE,ACTIVE_TICKER,W A COMDTY,BBG
WHEAT,FUTURE,Carry,W 1 A:00_0_N? COMDTY,BBG
WHEAT,FUTURE,Carry2,W 2 A:00_0_N? COMDTY,BBG
WHEAT,FUTURE,ClearMacro,Wheat,CLEARMACRO
WHEAT,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
WHEAT,FUTURE,GENERIC_TICKER,W_1_COMDTY,BBG
WHEAT,FUTURE,NO_ADJ,W 1 A:00_0_N? COMDTY,BBG
WHEAT,FUTURE,Return Period,22,BBG
WHEAT,FUTURE,RISK_TICKER,W 1 A:00_0_R? COMDTY,BBG
WHEAT,FUTURE,RISK_TICKER2,W 1 A:00_0_R? COMDTY,BBG
WHEAT,FUTURE,Spot,W 1 A:00_0_R? COMDTY,BBG
WHEAT,FUTURE,TREND_PRICE,W 1 A:00_0_D? COMDTY,BBG
WTI CRUDE,FUTURE,ACTIVE_TICKER,CLA COMDTY,BBG
WTI CRUDE,FUTURE,Carry,CL1 A:00_0_N? COMDTY,BBG
WTI CRUDE,FUTURE,Carry2,CL2 A:00_0_N? COMDTY,BBG
WTI CRUDE,FUTURE,ClearMacro,Crude Oil,CLEARMACRO
WTI CRUDE,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
WTI CRUDE,FUTURE,GENERIC_TICKER,CL1_COMDTY,BBG
WTI CRUDE,FUTURE,NO_ADJ,CL1 A:00_0_N? COMDTY,BBG
WTI CRUDE,FUTURE,Return Period,252,BBG
WTI CRUDE,FUTURE,RISK_TICKER,CL1 A:00_0_R? COMDTY,BBG
WTI CRUDE,FUTURE,RISK_TICKER2,CL2 A:00_0_R? COMDTY,BBG
WTI CRUDE,FUTURE,Spot,CL1 A:00_0_R? COMDTY,BBG
WTI CRUDE,FUTURE,TREND_PRICE,CL1 A:00_0_D? COMDTY,BBG
WTI CRUDE 4M,FUTURE,ACTIVE_TICKER,CL4 COMDTY,BBG
WTI CRUDE 4M,FUTURE,Carry,CL1 A:00_0_N? COMDTY,BBG
WTI CRUDE 4M,FUTURE,Carry2,CL2 A:00_0_N? COMDTY,BBG
WTI CRUDE 4M,FUTURE,ClearMacro,Crude Oil,CLEARMACRO
WTI CRUDE 4M,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
WTI CRUDE 4M,FUTURE,GENERIC_TICKER,CL4_COMDTY,BBG
WTI CRUDE 4M,FUTURE,NO_ADJ,CL4 A:00_0_N? COMDTY,BBG
WTI CRUDE 4M,FUTURE,Return Period,252,BBG
WTI CRUDE 4M,FUTURE,RISK_TICKER,CL4 A:00_0_R? COMDTY,BBG
WTI CRUDE 4M,FUTURE,RISK_TICKER2,CL4 A:00_0_R? COMDTY,BBG
WTI CRUDE 4M,FUTURE,Spot,CL4 A:00_0_R? COMDTY,BBG
WTI CRUDE 4M,FUTURE,TREND_PRICE,CL4 A:00_0_D? COMDTY,BBG
ZAR,FORWARD,10YYields,GSAB10YR Index,BBG
ZAR,FORWARD,2M_FWD,ZAR2M CMPN Curncy,BBG
ZAR,FORWARD,2YYields,GSAB2YR Index,BBG
ZAR,FORWARD,3M_FWD,ZAR3M CMPN Curncy,BBG
ZAR,FORWARD,3MYields,JIBA3M Index,BBG
ZAR,FORWARD,ACTIVE_TICKER,USDZARCR CURNCY,BBG
ZAR,FORWARD,Carry,ZARI3M Curncy,BBG
ZAR,FORWARD,Carry 12M,SAI12M CMPN Curncy,BBG
ZAR,FORWARD,Carry2,US0003M Curncy,BBG
ZAR,FORWARD,Carry2 12M,US0012M Curncy,BBG
ZAR,FORWARD,Carry3,CEWSZAR Index,BBG
ZAR,FORWARD,ClearMacro,S. Africa,CLEARMACRO
ZAR,FORWARD,CPI_YOY,SACPIYOY Index,BBG
ZAR,FORWARD,Current Account,EHCAZA INDEX,BBG
ZAR,FORWARD,Economic Surprises,CESIZAR Index,BBG
ZAR,FORWARD,Equity Performance,TOP40 Index,BBG
ZAR,FORWARD,FX XXXGBP,ZARGBP CURNCY,BBG
ZAR,FORWARD,GBP_Spot,GBPZAR Curncy,BBG
ZAR,FORWARD,GENERIC_TICKER,USDZARCR_CURNCY,BBG
ZAR,FORWARD,IMPVOL,USDZARV3M Curncy,BBG
ZAR,FORWARD,Inflation Surprises,CSIIZAR Index,BBG
ZAR,FORWARD,NO_ADJ,USDZAR CURNCY,BBG
ZAR,FORWARD,OECD CLI,OEZAKLAC Index,BBG
ZAR,FORWARD,PPP,IPPPZAF Index,BBG
ZAR,FORWARD,Return Period,22,BBG
ZAR,FORWARD,RISK_TICKER,USDZAR CURNCY,BBG
ZAR,FORWARD,RISK_TICKER2,ZARUSD CURNCY,BBG
ZAR,FORWARD,Spot,USDZAR CURNCY,BBG
ZAR,FORWARD,TREND_PRICE,USDZAR CURNCY,BBG
ZAR,FORWARD,Unemployment Rate,EHUPZAY Index,BBG
ZAR,FORWARD,USD_Spot,USDZAR Curncy,BBG
